filename,name,num_hits,matches,snippets
manual_entries.csv,Cassin Dyson,4,AI,Executive director of the career center Cassin Dyson uses AI for student cover letter writing. Executive director of the career center Cassin Dyson uses AI based comparison of resume to job qualifications. Executive director of the career center Cassin Dyson uses AI based case preparation. Executive director of the career center Cassin Dyson uses AI driven interview preparation strategies.
manual_entries.csv,Gil Appel,3,AI,"AI Podcast; Two professors. One fast AI show. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch  AI Podcast; Two professors. One fast AI show. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch The Droid Duo — 30 minutes of practic ow. David Schweidel (Emory Goizueta) & Gil Appel (GW School of Business) launch The Droid Duo — 30 minutes of practical AI: what works, what’s hype, what’s next."
manual_entries.csv,Herman Aguinis,2,AI; generative AI,"Aguinis, H. in press. Method-driven theory advancements and AI implementation. Journal of International Business Studies. Aguinis, H., Beltran, J. R., & Cope, A. 2024. How to use generative AI as a human resource management assistant. Organizational Dynamics, 53(1): 101029."
manual_entries.csv,Joel Gehman,3,Artificial Intelligence; Generative AI; Large Language Model," Merritt, P. 2025. An Assemblage Perspective on Hybrid Agency: A Commentary on Raisch and Fomina’s “Combining Human and Artificial Intelligence.” Academy of Management Review. 50: 477–479. doi:10.5465/amr.2024.0126.** Glaser, V.L. & Gehman, J. 2024. Chatty Actors: Generative AI and the Reassembly of Agency in Qualitative Research. In M. Kulkarni, S. Mantere, E. Vaara, E. van den Broek, S. Pachid Cornelissen, J., Höllerer, M., Boxenbaum, E., Faraj, S., & Gehman, J. 2024. Large Language Models and the Future of Organization Theory. Organization Theory. 5: 26317877241239056. doi:10.1177/26317877241239056."
