profile_url,name,num_hits,matches,snippets,personal_urls,cv_filename
https://business.gwu.edu/administration,Administration,0,,,,
https://business.gwu.edu/alexandre-m-baptista,Alexandre Baptista,0,,,,
https://business.gwu.edu/angela-gore,Angela Gore,0,,,,
https://business.gwu.edu/anju-wadhwa,Anju Wadhwa,0,,,,
https://business.gwu.edu/anna-helm,Anna Helm,0,,,http://www.annahelm.com/,
https://business.gwu.edu/anoma-kulathunga,Anoma Kulathunga,0,,,,
https://business.gwu.edu/anupama-phene,Anupama Phene,0,,,,
https://business.gwu.edu/ariel-weinberger,Ariel Weinberger,0,,,http://aweinberger.weebly.com/,aw_cv_august_2023.pdf
https://business.gwu.edu/arthur-wilson,Arthur Wilson,0,,,,
https://business.gwu.edu/ayman-el-tarabishy,Ayman El Tarabishy,0,,,http://www.aymaneltarabishy.com/,
https://business.gwu.edu/ben-bronner,Ben Bronner,0,,,,bronner_cv_april_2024.pdf
https://business.gwu.edu/bonnie-pierce,Bonnie Pierce,0,,,,
https://business.gwu.edu/brian-j-henderson,Brian J. Henderson,0,,,,
https://business.gwu.edu/cevat-tosun,Cevat Tosun,0,,,,_ FacultyCV_CTosun_7_11_2025.pdf
https://business.gwu.edu/chad-ho,Yi-Chun (Chad) Ho,0,,,https://pubsonline.informs.org/doi/10.1287/isre.2019.0909,
https://business.gwu.edu/chris-seek,Chris Seek,0,,,,
https://business.gwu.edu/christopher-jones,Christopher Jones,0,,,,
https://business.gwu.edu/christopher-leinberger,Christopher Leinberger,0,,,,
https://business.gwu.edu/chukwuma-dim,Chukwuma Dim,0,,,https://sites.google.com/view/chukwumadim/,
https://business.gwu.edu/d-christopher-kayes,D. Christopher Kayes,0,,,https://dckayes.com/,
https://business.gwu.edu/danny-leipziger,Danny Leipziger,0,,,http://www.growthdialogue.org/,
https://business.gwu.edu/david-brown,David Brown,0,,,,
https://business.gwu.edu/david-halliday,David Halliday,0,,,,
https://business.gwu.edu/david-jacobs,David Jacobs,0,,,,jacobscv25.pdf
https://business.gwu.edu/davide-sonzogni,Davide Sonzogni,0,,,,davide_sonzogni_cv_august_2023.pdf
https://business.gwu.edu/denise-falchetti,Denise Falchetti,0,,,,denise_falchetti_cv_2025_01_22.pdf
https://business.gwu.edu/donald-buzinkai,Donald Buzinkai,0,,,,Donald Buzinkai June 2025 CV.pdf
https://business.gwu.edu/donna-hoffman,Donna Hoffman,0,,,http://postsocial.gwu.edu/,Donna%20Hoffman_CV_June_2020.pdf
https://business.gwu.edu/edward-sul,Edward Sul,0,,,https://sites.google.com/view/edward-sul,CV October 2025.pdf
https://business.gwu.edu/erik-milito,Erik Milito,0,,,,
https://business.gwu.edu/ernie-englander,Ernie Englander,0,,,,ernie_englander_cv_may_2023.pdf
https://business.gwu.edu/everlyne-misati,Everlyne Misati,0,,,,eve_misati_cv_june_2023.pdf
https://business.gwu.edu/faith-bradley,Faith Bradley,5,Algorithm; Artificial Intelligence; Data Science; Machine Learning,"nces, and skills influence the adoption of new technologies. Her extensive teaching experience includes courses such as Machine Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Scien || luence the adoption of new technologies. Her extensive teaching experience includes courses such as Machine Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Science, and Model || e Learning I: Algorithm Analysis, Analytics I: Principles & Applications, Analytical Methods II, Data Mining, Ethics of Data Science, and Modeling, Simulation & Game Theory. Dr. Bradley has taught at Columbia University, New York University, and the Ge || rginia Interment College Teaching Database Design and Application Web Applications Development Business Applications of Artificial Intelligence Introduction to Artificial Intelligence Awards Outstanding ISTM Faculty Award, The George Washington University School  || se Design and Application Web Applications Development Business Applications of Artificial Intelligence Introduction to Artificial Intelligence Awards Outstanding ISTM Faculty Award, The George Washington University School of Business 2023 George Washington Event",,
https://business.gwu.edu/francesca-joseph,Francesca Joseph,0,,,,
https://business.gwu.edu/george-m-jabbour,George M. Jabbour,0,,,,jabbour  CV 2025.pdf
https://business.gwu.edu/george-t-solomon,George T. Solomon,0,,,,3822
https://business.gwu.edu/gergana-jostova,Gergana Jostova,0,,,https://www.worldscientific.com/doi/abs/10.1142/S2010139217500033,cv_gergana_jostova_2025.pdf
https://business.gwu.edu/gil-appel,Gil Appel,0,,,https://www.psychologytoday.com/us/blog/social-instincts/201910/men-and-women-sort-speak-two-different-languages,
https://business.gwu.edu/harald-anderson,Dr. Harald Anderson,0,,,,
https://business.gwu.edu/herbert-j-davis,Herbert  J.  Davis,0,,,,
https://business.gwu.edu/herman-aguinis,Herman Aguinis,1,data science,"acquisition and deployment of talent in organizations and organizational research methods (i.e., behavioral science and data science). Recent projects address corporate social responsibility and business sustainability, domestic and international workf",https://hermanaguinis.com/,
https://business.gwu.edu/holly-wade,Holly Wade,0,,,,
https://business.gwu.edu/homayoun-khamooshi,Homayoun Khamooshi,0,,,,Khamooshi_Homayoun_Faculty_CV_2016.03.28.pdf
https://business.gwu.edu/hossein-askari,Hossein Askari,0,,,http://hossein-askari.com/,Askari_Hossein_Faculty_CV_-2016.06.21.pdf
https://business.gwu.edu/howard-beales,Howard Beales,0,,,,
https://business.gwu.edu/jackie-ferree,Jackie Ferree,1,automation,ience utilizing business intelligence and data analytics to support decision-making in conjunction with robotic process automation to drive efficiency and alignment of resources with stated business objectives using practical application teaching tec,,
https://business.gwu.edu/james-b-wade,James B. Wade,0,,,,wade-cv-august-2023.pdf
https://business.gwu.edu/james-r-bailey,James R.  Bailey,0,,,https://lessonsonleadership.org/,Bailey CV. 7-25.doc
https://business.gwu.edu/janne-kettunen,Janne Kettunen,0,,,https://ieeexplore.ieee.org/abstract/document/10268114,
https://business.gwu.edu/jeffrey-joseph,Jeffrey Joseph,0,,,,jeffrey_joseph_cv.pdf
https://business.gwu.edu/jennifer-merluzzi,Jennifer Merluzzi,0,,,https://pubsonline.informs.org/doi/abs/10.1287/orsc.2017.1137,merluzzi_cv_08_2024.pdf
https://business.gwu.edu/jennifer-w-spencer,Jennifer W. Spencer,0,,,,
https://business.gwu.edu/jenny-zha-giedt,Jenny Zha Giedt,0,,,http://www.jennyzha.com/,
https://business.gwu.edu/jiawen-yang,Jiawen Yang,0,,,,jiawen_yang_cv_2023_ar.pdf
https://business.gwu.edu/jillian-andrews,Jillian Andrews,0,,,,
https://business.gwu.edu/jin-hyung-kim,Jin Hyung Kim,0,,,https://youtu.be/N7w2iMqGnKQ?t=322,CV_Jin Hyung Kim.pdf
https://business.gwu.edu/joel-gehman,Joel Gehman,0,,,https://www.egosnet.org/egos/about_egos/roland_calori_prize,Gehman_CV_20220218.pdf
https://business.gwu.edu/johan-ferreira,Johan Ferreira,0,,,,ferreira_curriculum_vitae_20250520.pdf
