Type,ID,Text
teaching.washington.edu_course-design_ai,22,"reliably identify when student uses ai to complete an assignment, it is unlikely that you can prevent students from using ai. so adopting policing approach to student use of ai will likely be both time-consuming and unsuccessful. instead, because uw graduates will live and work in an ai world, it is important that we provide them with opportunities to better understand the issues associated with"
teaching.washington.edu_course-design_ai,23,"it is important that we provide them with opportunities to better understand the issues associated with ai and its relationship to learning. the following strategies can help instructors think about how to communicate with students about ai, set expectations, and increase students’ motivation to develop their own skills and ideas. set expectations establish policy for your course around the use of generative ai and communicate"
teaching.washington.edu_course-design_ai,24,ideas. set expectations establish policy for your course around the use of generative ai and communicate this with students through the syllabus and/or assignment prompts. here are some sample syllabus statements you can use or adapt to help articulate your expectations for student use of ai in your course. acknowledge that struggle is part of learning talk with students about how intellectual struggle is an
teaching.washington.edu_course-design_ai,25,"acknowledge that struggle is part of learning talk with students about how intellectual struggle is an necessary part of learning. learning happens only when we move outside what we already know. explain to students that when they use generative ai as shortcut to complete an assignment, they may miss an opportunity to become more effective thinkers, writers, researchers, and creators. communicate the importance of all"
teaching.washington.edu_course-design_ai,26,"an opportunity to become more effective thinkers, writers, researchers, and creators. communicate the importance of all college learning many students focus only on learning with clear connections to their intended career track and may be more willing to use shortcuts in courses they deem irrelevant. however, most students will change careers at least once in their lifetimes. talk with students about how the relevance of"
teaching.washington.edu_course-design_ai,27,"change careers at least once in their lifetimes. talk with students about how the relevance of your course may only become apparent years from now. the skills they learn in your course may transfer to other careers even careers that do not yet exist! discuss the social, ethical, and practical issues surrounding ai the processes that support generative ai tools raise issues related to privacy,"
teaching.washington.edu_course-design_ai,28,"practical issues surrounding ai the processes that support generative ai tools raise issues related to privacy, disinformation, environmental impact, bias, exploitation, and academic integrity, among other things. in addition, although ai-generated output appears authoritative and factual, it is frequently riddled with inaccuracy. discussing with students the ethical and social concerns related to ai can help them see the social context of ai and can position"
teaching.washington.edu_course-design_ai,29,concerns related to ai can help them see the social context of ai and can position them to make thoughtful decisions about their own use of ai-based tools. teaching with ai much of the conversation about ai has focused on teaching about and with ai so uw students graduate ready to succeed in an ai-infused workplace. this is certainly important. but as instructors we need
teaching.washington.edu_course-design_ai,30,"ready to succeed in an ai-infused workplace. this is certainly important. but as instructors we need to go beyond bolting ai onto our teaching to meet employers’ expectations we need to use ai in the service of learning to that end, there are two basic pathways for integrating ai into your teaching practice 1) using ai behind-the-scenes to assist you in the design of your"
teaching.washington.edu_course-design_ai,31,"into your teaching practice 1) using ai behind-the-scenes to assist you in the design of your course and development of your course materials, and 2) using ai to enhance student learning and engagement. using ai in the course design process the list below contains just few of the ways you might use ai as you develop your course. note how often the word “draft” appears"
teaching.washington.edu_course-design_ai,32,"you might use ai as you develop your course. note how often the word “draft” appears in this list. it’s important to remember that generative ai is an assistive technology because ai cannot distinguish fact from fiction, you should always refine ai-generated output draft learning outcomes draft module/unit descriptions draft slides or other teaching materials draft discussion prompts draft rubrics brainstorm authentic assessment ideas identify"
teaching.washington.edu_course-design_ai,33,"draft slides or other teaching materials draft discussion prompts draft rubrics brainstorm authentic assessment ideas identify and analyze themes in student feedback (e.g., mid-quarter check-in survey). note: to protect student privacy and comply with ferpa requirements, please only use uw’s version copilot for this task. using ai to enhance learning and engagement in some ways, generative ai’s shortcomings are its strengths in teaching context its"
teaching.washington.edu_course-design_ai,34,"learning and engagement in some ways, generative ai’s shortcomings are its strengths in teaching context its penchant for inaccuracy makes it great tool for prompting students to think critically. instructors can also leverage ai’s generative capabilities to prompt students to analyze alternative scenarios, ask questions about information accuracy, and explore connections between concepts. below are just few examples of how instructors might use ai to"
teaching.washington.edu_course-design_ai,35,"explore connections between concepts. below are just few examples of how instructors might use ai to facilitate learning. many of these examples familiarize students with ai-based tools, but also prompt critical examination of their value, accuracy, strengths, and shortcomings. ai and learning engagement accordion think-pair-ai-share students think (as individuals) about question/concept, then pair up with peer to discuss. the pair then plugs the question/concept into"
teaching.washington.edu_course-design_ai,36,"about question/concept, then pair up with peer to discuss. the pair then plugs the question/concept into generative ai tool and discusses or analyzes the output. evaluating ai output co-develop rubric with students that describes the components of an effective essay, lab report, précis, technical manual, blog post, etc. students prompt an ai tool to generate three versions of the assignment on given topic and then"
teaching.washington.edu_course-design_ai,37,"prompt an ai tool to generate three versions of the assignment on given topic and then use the rubric to evaluate the quality of the ai-generated versions. improving upon/adapting ai-generated output students use generative ai to draft text or code in response to an assignment prompt. students must then improve upon the ai-generated output. when students turn in their assignment, they must include both the"
teaching.washington.edu_course-design_ai,38,"improve upon the ai-generated output. when students turn in their assignment, they must include both the ai-generated text and their improved version. explaining the steps in an ai-generated solution students use ai to solve math problem. working from the ai-generated solution, they then work in groups to explain or analyze the steps that the ai tool used to arrive at the solution. visualizing concepts with"
teaching.washington.edu_course-design_ai,39,analyze the steps that the ai tool used to arrive at the solution. visualizing concepts with ai students select concept covered in lecture or course readings and then prompt an al image generator to create an image that represents the connection between the concept and daily life. they must then explain how the al-generated image conveys the concept and its relationship to daily life. students
teaching.washington.edu_course-design_ai,40,"then explain how the al-generated image conveys the concept and its relationship to daily life. students might also analyze the strengths and shortcomings of ai image generators. exploring ai in your field students explore current applications of ai in the discipline of the course or in their major. within the context of the discipline (or their major), students examine both ai’s advantages and limitations. it"
teaching.washington.edu_course-design_ai,41,"the context of the discipline (or their major), students examine both ai’s advantages and limitations. it is unrealistic and, perhaps, ill-advised to integrate ai into every assignment. here are some strategies to help build student motivation for working on assignments without relying on generative ai. assess process as much as (or more than) product lowering the stakes of individual assignments reduces students’ motivation to seek"
teaching.washington.edu_course-design_ai,42,"as (or more than) product lowering the stakes of individual assignments reduces students’ motivation to seek out shortcuts or cheat. low- or no-stakes formative assessments reinforce the notion that learning is process, that practice is essential to learning, and that learning, not the grade, is what matters. design assignments that connect course content, class discussion, and students’ lived experience. it’s harder for ai-based tools to"
teaching.washington.edu_course-design_ai,43,"that connect course content, class discussion, and students’ lived experience. it’s harder for ai-based tools to effectively connect the dots between these sources of knowledge. an added benefit is that students often find assignments that draw on their experiences inherently more interesting and relevant. what to do if you suspect academic misconduct students are expected to practice high standards of academic and professional honesty and"
teaching.washington.edu_course-design_ai,44,"suspect academic misconduct students are expected to practice high standards of academic and professional honesty and integrity. the university communicates with students about the importance of knowing and understanding the expectations of both the university and specific instructors regarding academic standards. if you have prohibited the use of ai-based tools and suspect that student has engaged in academic misconduct, you can make report to your"
teaching.washington.edu_course-design_ai,45,"tools and suspect that student has engaged in academic misconduct, you can make report to your campus student conduct office. uw bothell student affairs uw seattle community standards and student conduct uw tacoma student conduct information that is communicated to students regarding academic standards and the student conduct code is available on the office of community standards and student conduct academic misconduct page adapted from"
teaching.washington.edu_course-design_ai,46,"is available on the office of community standards and student conduct academic misconduct page adapted from finley-croswhite, 2023 and wong, 2023 adapted from michael mccreary, goucher college. adapted from assignments created by andrea otañez, uw communications; carly gray, uw psychology; richard ross university of virginia; and materials in laquintano, et al, 2023 adapted from finley-croswhite, 2023 adapted from an assignment created by christine savolainen, uw"
teaching.washington.edu_course-design_ai,47,"et al, 2023 adapted from finley-croswhite, 2023 adapted from an assignment created by christine savolainen, uw biology. adapted from uw bothell, office of student academic success. home course design align your course creating effective assignments creating your syllabus flipped, hybrid, and online teaching flipping the classroom designing and refining hybrid and online courses asynchronous learning regular and substantive interaction teaching large enrollment courses developing community"
teaching.washington.edu_course-design_ai,48,"hybrid and online courses asynchronous learning regular and substantive interaction teaching large enrollment courses developing community agreements creating culture of academic integrity ai+teaching ethical and social issues related to ai sample syllabus statements regarding student use of artificial intelligence assessment, rubrics, and grading creating assessments rubrics grading constructing tests teaching during natural and public health crises university of washington be boundless connect with us: facebook"
teaching.washington.edu_course-design_ai,49,"teaching during natural and public health crises university of washington be boundless connect with us: facebook twitter instagram youtube linkedin pinterest accessibility contact us jobs campus safety my uw rules docket privacy terms newsletter 2026 university of washington seattle, wa"
